Interval,kWh,sec,Wh,cumul(ms),dates,days,heure
21708,0.17,21.708,165.8374792703151,13086705173,2026-04-20 00:00:09.227832,20/04/26,0:0:9
21764,0.17,21.764,165.4107700790296,13086726937,2026-04-20 00:00:30.991832,20/04/26,0:0:30
22107,0.16,22.107,162.84434794409012,13086749044,2026-04-20 00:00:53.098832,20/04/26,0:0:53
22072,0.16,22.072,163.10257339615802,13086771116,2026-04-20 00:01:15.170832,20/04/26,0:1:15
21846,0.16,21.846,164.78989288656962,13086792962,2026-04-20 00:01:37.016832,20/04/26,0:1:37
22145,0.16,22.145,162.56491307292842,13086815107,2026-04-20 00:01:59.161832,20/04/26,0:1:59
22245,0.16,22.245,161.83412002697236,13086837352,2026-04-20 00:02:21.406832,20/04/26,0:2:21
22156,0.16,22.156,162.48420292471565,13086859508,2026-04-20 00:02:43.562832,20/04/26,0:2:43
22292,0.16,22.292,161.49291225551767,13086881800,2026-04-20 00:03:05.854832,20/04/26,0:3:5
22135,0.16,22.135,162.63835554551616,13086903935,2026-04-20 00:03:27.989832,20/04/26,0:3:27
22033,0.16,22.033,163.3912767212817,13086925968,2026-04-20 00:03:50.022832,20/04/26,0:3:50
21689,0.17,21.689,165.98275623587995,13086947657,2026-04-20 00:04:11.711832,20/04/26,0:4:11
21947,0.16,21.947,164.03153050530824,13086969604,2026-04-20 00:04:33.658832,20/04/26,0:4:33
22128,0.16,22.128,162.68980477223428,13086991732,2026-04-20 00:04:55.786832,20/04/26,0:4:55
22017,0.16,22.017,163.51001498841805,13087013749,2026-04-20 00:05:17.803832,20/04/26,0:5:17
21552,0.17,21.552,167.03786191536747,13087035301,2026-04-20 00:05:39.355832,20/04/26,0:5:39
21698,0.17,21.698,165.91390911604756,13087056999,2026-04-20 00:06:01.053832,20/04/26,0:6:1
21669,0.17,21.669,166.13595458950576,13087078668,2026-04-20 00:06:22.722832,20/04/26,0:6:22
21639,0.17,21.639,166.3662830999584,13087100307,2026-04-20 00:06:44.361832,20/04/26,0:6:44
21677,0.17,21.677,166.0746413249066,13087121984,2026-04-20 00:07:06.038832,20/04/26,0:7:6
21709,0.17,21.709,165.82984015845963,13087143693,2026-04-20 00:07:27.747832,20/04/26,0:7:27
21680,0.17,21.68,166.05166051660515,13087165373,2026-04-20 00:07:49.427832,20/04/26,0:7:49
21858,0.16,21.858,164.69942355201758,13087187231,2026-04-20 00:08:11.285832,20/04/26,0:8:11
21697,0.17,21.697,165.9215559754805,13087208928,2026-04-20 00:08:32.982832,20/04/26,0:8:32
21901,0.16,21.901,164.376055887859,13087230829,2026-04-20 00:08:54.883832,20/04/26,0:8:54
21672,0.17,21.672,166.11295681063123,13087252501,2026-04-20 00:09:16.555832,20/04/26,0:9:16
22101,0.16,22.101,162.8885570788652,13087274602,2026-04-20 00:09:38.656832,20/04/26,0:9:38
22523,0.16,22.523,159.83661146383696,13087297125,2026-04-20 00:10:01.179832,20/04/26,0:10:1
22658,0.16,22.658,158.88427928325535,13087319783,2026-04-20 00:10:23.837832,20/04/26,0:10:23
22592,0.16,22.592,159.3484419263456,13087342375,2026-04-20 00:10:46.429832,20/04/26,0:10:46
22563,0.16,22.563,159.55325089748703,13087364938,2026-04-20 00:11:08.992832,20/04/26,0:11:8
22300,0.16,22.3,161.43497757847533,13087387238,2026-04-20 00:11:31.292832,20/04/26,0:11:31
22527,0.16,22.527,159.8082301238514,13087409765,2026-04-20 00:11:53.819832,20/04/26,0:11:53
22703,0.16,22.703,158.56935206800864,13087432468,2026-04-20 00:12:16.522832,20/04/26,0:12:16
22620,0.16,22.62,159.15119363395226,13087455088,2026-04-20 00:12:39.142832,20/04/26,0:12:39
22780,0.16,22.78,158.03336259877085,13087477868,2026-04-20 00:13:01.922832,20/04/26,0:13:1
22745,0.16,22.745,158.27654429544955,13087500613,2026-04-20 00:13:24.667832,20/04/26,0:13:24
22745,0.16,22.745,158.27654429544955,13087523358,2026-04-20 00:13:47.412832,20/04/26,0:13:47
22569,0.16,22.569,159.51083344410475,13087545927,2026-04-20 00:14:09.981832,20/04/26,0:14:9
22659,0.16,22.659,158.87726731100224,13087568586,2026-04-20 00:14:32.640832,20/04/26,0:14:32
22616,0.16,22.616,159.1793420587195,13087591202,2026-04-20 00:14:55.256832,20/04/26,0:14:55
22164,0.16,22.164,162.42555495397943,13087613366,2026-04-20 00:15:17.420832,20/04/26,0:15:17
22559,0.16,22.559,159.58154173500597,13087635925,2026-04-20 00:15:39.979832,20/04/26,0:15:39
22856,0.16,22.856,157.5078753937697,13087658781,2026-04-20 00:16:02.835832,20/04/26,0:16:2
22721,0.16,22.721,158.44373046960962,13087681502,2026-04-20 00:16:25.556832,20/04/26,0:16:25
22192,0.16,22.192,162.22062004325883,13087703694,2026-04-20 00:16:47.748832,20/04/26,0:16:47
22143,0.16,22.143,162.5795962606693,13087725837,2026-04-20 00:17:09.891832,20/04/26,0:17:9
22214,0.16,22.214,162.05996218600882,13087748051,2026-04-20 00:17:32.105832,20/04/26,0:17:32
21473,0.17,21.473,167.65240068923765,13087769524,2026-04-20 00:17:53.578832,20/04/26,0:17:53
21721,0.17,21.721,165.7382256802173,13087791245,2026-04-20 00:18:15.299832,20/04/26,0:18:15
21491,0.17,21.491,167.51198175980642,13087812736,2026-04-20 00:18:36.790832,20/04/26,0:18:36
21862,0.16,21.862,164.66928917756837,13087834598,2026-04-20 00:18:58.652832,20/04/26,0:18:58
21861,0.16,21.861,164.67682173734048,13087856459,2026-04-20 00:19:20.513832,20/04/26,0:19:20
21941,0.16,21.941,164.07638667335127,13087878400,2026-04-20 00:19:42.454832,20/04/26,0:19:42
22183,0.16,22.183,162.2864355587612,13087900583,2026-04-20 00:20:04.637832,20/04/26,0:20:4
19134,0.19,19.134,188.14675446848543,13087919717,2026-04-20 00:20:23.771832,20/04/26,0:20:23
14298,0.25,14.298,251.7834662190516,13087934015,2026-04-20 00:20:38.069832,20/04/26,0:20:38
14949,0.24,14.949,240.81878386514148,13087948964,2026-04-20 00:20:53.018832,20/04/26,0:20:53
