days,kWh
07/03/2024,3.133
08/03/2024,3.752
09/03/2024,3.081
10/03/2024,3.534
11/03/2024,4.54
12/03/2024,3.558
13/03/2024,3.541
14/03/2024,3.653
15/03/2024,3.563
16/03/2024,3.36
17/03/2024,3.349
18/03/2024,4.402
19/03/2024,3.508
20/03/2024,3.441
21/03/2024,3.551
22/03/2024,3.744
23/03/2024,3.527
24/03/2024,3.337
25/03/2024,3.892
26/03/2024,3.418
27/03/2024,3.474
28/03/2024,3.638
29/03/2024,3.756
30/03/2024,3.653
31/03/2024,3.831
01/04/2024,3.837
02/04/2024,3.818
03/04/2024,3.42
04/04/2024,3.476
05/04/2024,4.418
06/04/2024,3.401
07/04/2024,4.073
08/04/2024,3.78
09/04/2024,4.06
10/04/2024,3.433
11/04/2024,3.579
12/04/2024,3.443
13/04/2024,4.116
14/04/2024,3.272
15/04/2024,3.319
16/04/2024,3.702
17/04/2024,3.688
18/04/2024,4.22
19/04/2024,3.284
20/04/2024,3.379
21/04/2024,3.767
22/04/2024,4.092
23/04/2024,3.497
24/04/2024,3.301
25/04/2024,3.292
26/04/2024,3.06
27/04/2024,2.646
