Interval,kWh,sec,Wh,cumul(ms),dates,days,heure
40556,0.09,40.556,88.76615050793964,15420182335,2026-04-13 00:00:08.693830,13/04/26,0
40546,0.09,40.546,88.78804321018103,15420222881,2026-04-13 00:00:49.239830,13/04/26,0
39857,0.09,39.857,90.32290438316983,15420262738,2026-04-13 00:01:29.096830,13/04/26,0
39317,0.09,39.317,91.56344583767836,15420302055,2026-04-13 00:02:08.413830,13/04/26,0
39254,0.09,39.254,91.7103989402354,15420341309,2026-04-13 00:02:47.667830,13/04/26,0
39560,0.09,39.56,91.0010111223458,15420380869,2026-04-13 00:03:27.227830,13/04/26,0
39666,0.09,39.666,90.75782786265316,15420420535,2026-04-13 00:04:06.893830,13/04/26,0
39641,0.09,39.641,90.8150652102621,15420460176,2026-04-13 00:04:46.534830,13/04/26,0
27692,0.13,27.692,130.001444460494,15420487868,2026-04-13 00:05:14.226830,13/04/26,0
21492,0.17,21.492,167.50418760469012,15420509360,2026-04-13 00:05:35.718830,13/04/26,0
21489,0.17,21.489,167.52757224626552,15420530849,2026-04-13 00:05:57.207830,13/04/26,0
21588,0.17,21.588,166.75931072818233,15420552437,2026-04-13 00:06:18.795830,13/04/26,0
21719,0.17,21.719,165.75348772963764,15420574156,2026-04-13 00:06:40.514830,13/04/26,0
21875,0.16,21.875,164.57142857142858,15420596031,2026-04-13 00:07:02.389830,13/04/26,0
22109,0.16,22.109,162.8296168980958,15420618140,2026-04-13 00:07:24.498830,13/04/26,0
22180,0.16,22.18,162.30838593327323,15420640320,2026-04-13 00:07:46.678830,13/04/26,0
22209,0.16,22.209,162.0964473861948,15420662529,2026-04-13 00:08:08.887830,13/04/26,0
22301,0.16,22.301,161.4277386664275,15420684830,2026-04-13 00:08:31.188830,13/04/26,0
22371,0.16,22.371,160.92262303875552,15420707201,2026-04-13 00:08:53.559830,13/04/26,0
22495,0.16,22.495,160.03556345854633,15420729696,2026-04-13 00:09:16.054830,13/04/26,0
22586,0.16,22.586,159.39077304524926,15420752282,2026-04-13 00:09:38.640830,13/04/26,0
22640,0.16,22.64,159.01060070671377,15420774922,2026-04-13 00:10:01.280830,13/04/26,0
22759,0.16,22.759,158.1791818621205,15420797681,2026-04-13 00:10:24.039830,13/04/26,0
22837,0.16,22.837,157.63891929763105,15420820518,2026-04-13 00:10:46.876830,13/04/26,0
23297,0.15,23.297,154.5263338627291,15420843815,2026-04-13 00:11:10.173830,13/04/26,0
23357,0.15,23.357,154.12938305433062,15420867172,2026-04-13 00:11:33.530830,13/04/26,0
23460,0.15,23.46,153.4526854219949,15420890632,2026-04-13 00:11:56.990830,13/04/26,0
