Interval,kWh,sec,Wh,cumul(ms),dates,days,heure
28840,0.12,28.84,124.82662968099861,15459489149,2026-03-16 00:00:01.839931,16/03/26,0
27763,0.13,27.763,129.6689838994345,15459516912,2026-03-16 00:00:29.602931,16/03/26,0
26683,0.13,26.683,134.917363115092,15459543595,2026-03-16 00:00:56.285931,16/03/26,0
26834,0.13,26.834,134.15815756130283,15459570429,2026-03-16 00:01:23.119931,16/03/26,0
30537,0.12,30.537,117.88977306218686,15459600966,2026-03-16 00:01:53.656931,16/03/26,0
29722,0.12,29.722,121.12240091514703,15459630688,2026-03-16 00:02:23.378931,16/03/26,0
31215,0.12,31.215,115.32916866890918,15459661903,2026-03-16 00:02:54.593931,16/03/26,0
35505,0.1,35.505,101.39416983523448,15459697408,2026-03-16 00:03:30.098931,16/03/26,0
35298,0.1,35.298,101.98878123406425,15459732706,2026-03-16 00:04:05.396931,16/03/26,0
35483,0.1,35.483,101.4570357636051,15459768189,2026-03-16 00:04:40.879931,16/03/26,0
35400,0.1,35.4,101.69491525423729,15459803589,2026-03-16 00:05:16.279931,16/03/26,0
35605,0.1,35.605,101.10939474792866,15459839194,2026-03-16 00:05:51.884931,16/03/26,0
35691,0.1,35.691,100.86576447843994,15459874885,2026-03-16 00:06:27.575931,16/03/26,0
35702,0.1,35.702,100.83468713237353,15459910587,2026-03-16 00:07:03.277931,16/03/26,0
36865,0.1,36.865,97.65360097653601,15459947452,2026-03-16 00:07:40.142931,16/03/26,0
36872,0.1,36.872,97.63506183553916,15459984324,2026-03-16 00:08:17.014931,16/03/26,0
36794,0.1,36.794,97.84203946295591,15460021118,2026-03-16 00:08:53.808931,16/03/26,0
36867,0.1,36.867,97.6483033607291,15460057985,2026-03-16 00:09:30.675931,16/03/26,0
37073,0.1,37.073,97.10571035524505,15460095058,2026-03-16 00:10:07.748931,16/03/26,0
36978,0.1,36.978,97.35518416355671,15460132036,2026-03-16 00:10:44.726931,16/03/26,0
37095,0.1,37.095,97.04811969268096,15460169131,2026-03-16 00:11:21.821931,16/03/26,0
37115,0.1,37.115,96.99582379092011,15460206246,2026-03-16 00:11:58.936931,16/03/26,0
37497,0.1,37.497,96.00768061444916,15460243743,2026-03-16 00:12:36.433931,16/03/26,0
37948,0.09,37.948,94.8666596395067,15460281691,2026-03-16 00:13:14.381931,16/03/26,0
37940,0.09,37.94,94.8866631523458,15460319631,2026-03-16 00:13:52.321931,16/03/26,0
37940,0.09,37.94,94.8866631523458,15460357571,2026-03-16 00:14:30.261931,16/03/26,0
37182,0.1,37.182,96.82104243989026,15460394753,2026-03-16 00:15:07.443931,16/03/26,0
37620,0.09,37.62,95.69377990430623,15460432373,2026-03-16 00:15:45.063931,16/03/26,0
37748,0.09,37.748,95.36929108826958,15460470121,2026-03-16 00:16:22.811931,16/03/26,0
37853,0.09,37.853,95.10474731196999,15460507974,2026-03-16 00:17:00.664931,16/03/26,0
37900,0.09,37.9,94.9868073878628,15460545874,2026-03-16 00:17:38.564931,16/03/26,0
37885,0.09,37.885,95.02441599577669,15460583759,2026-03-16 00:18:16.449931,16/03/26,0
37971,0.09,37.971,94.80919649205973,15460621730,2026-03-16 00:18:54.420931,16/03/26,0
37929,0.09,37.929,94.91418176065807,15460659659,2026-03-16 00:19:32.349931,16/03/26,0
37955,0.09,37.955,94.84916348307206,15460697614,2026-03-16 00:20:10.304931,16/03/26,0
