heure,Interval,kWh,sec,Wh,cumul(ms),dates,days
0:0:1,28320,0.13,28.32,127.11864406779661,43903595336,2025-01-11 00:00:01.475366,11/01/25
0:0:29,28290,0.13,28.29,127.25344644750795,43903623626,2025-01-11 00:00:29.765366,11/01/25
0:0:58,28584,0.12,28.584,125.94458438287154,43903652210,2025-01-11 00:00:58.349366,11/01/25
0:1:26,28588,0.12,28.588,125.92696236183014,43903680798,2025-01-11 00:01:26.937366,11/01/25
0:1:55,29001,0.12,29.001,124.13365056377366,43903709799,2025-01-11 00:01:55.938366,11/01/25
0:2:23,27836,0.13,27.836,129.32892656990947,43903737635,2025-01-11 00:02:23.774366,11/01/25
0:2:52,28306,0.13,28.306,127.18151628629973,43903765941,2025-01-11 00:02:52.080366,11/01/25
0:3:20,28165,0.13,28.165,127.81821409550861,43903794106,2025-01-11 00:03:20.245366,11/01/25
0:3:48,28335,0.13,28.335,127.05134992059291,43903822441,2025-01-11 00:03:48.580366,11/01/25
0:4:16,27550,0.13,27.55,130.6715063520871,43903849991,2025-01-11 00:04:16.130366,11/01/25
0:4:42,25910,0.14,25.91,138.942493245851,43903875901,2025-01-11 00:04:42.040366,11/01/25
0:5:8,26176,0.14,26.176,137.53056234718827,43903902077,2025-01-11 00:05:08.216366,11/01/25
0:5:35,26977,0.13,26.977,133.44701041628053,43903929054,2025-01-11 00:05:35.193366,11/01/25
0:6:2,26970,0.13,26.97,133.48164627363738,43903956024,2025-01-11 00:06:02.163366,11/01/25
0:6:29,27093,0.13,27.093,132.8756505370391,43903983117,2025-01-11 00:06:29.256366,11/01/25
0:6:56,27218,0.13,27.218,132.26541259460652,43904010335,2025-01-11 00:06:56.474366,11/01/25
0:7:23,27224,0.13,27.224,132.23626212165735,43904037559,2025-01-11 00:07:23.698366,11/01/25
0:7:50,27110,0.13,27.11,132.79232755440796,43904064669,2025-01-11 00:07:50.808366,11/01/25
0:8:17,26902,0.13,26.902,133.81904691101033,43904091571,2025-01-11 00:08:17.710366,11/01/25
0:8:44,27237,0.13,27.237,132.17314682233726,43904118808,2025-01-11 00:08:44.947366,11/01/25
0:9:12,27249,0.13,27.249,132.11493999779807,43904146057,2025-01-11 00:09:12.196366,11/01/25
0:9:39,27130,0.13,27.13,132.69443420567637,43904173187,2025-01-11 00:09:39.326366,11/01/25
0:10:6,26993,0.13,26.993,133.36791019894048,43904200180,2025-01-11 00:10:06.319366,11/01/25
0:10:33,27125,0.13,27.125,132.7188940092166,43904227305,2025-01-11 00:10:33.444366,11/01/25
