days,kWh
21/08/23,0.567
22/08/23,3.701
23/08/23,4.23
24/08/23,3.683
25/08/23,3.961
26/08/23,4.592
27/08/23,3.722
28/08/23,3.464
29/08/23,3.5
30/08/23,3.706
31/08/23,3.434
01/09/23,4.128
02/09/23,4.231
03/09/23,3.662
04/09/23,3.631
05/09/23,3.639
06/09/23,3.318
07/09/23,3.374
08/09/23,4.059
09/09/23,4.046
10/09/23,4.011
11/09/23,4.096
12/09/23,3.505
13/09/23,4.253
14/09/23,3.955
15/09/23,3.748
16/09/23,4.111
17/09/23,4.624
18/09/23,4.125
19/09/23,3.219
20/09/23,3.172
21/09/23,3.872
22/09/23,3.803
23/09/23,3.081
24/09/23,3.788
25/09/23,4.161
26/09/23,3.618
27/09/23,3.725
28/09/23,4.577
29/09/23,4.301
30/09/23,4.429
01/10/23,3.899
02/10/23,3.445
03/10/23,4.265
04/10/23,3.915
05/10/23,3.784
06/10/23,3.532
07/10/23,3.947
08/10/23,3.771
09/10/23,3.452
10/10/23,4.126
11/10/23,3.386
12/10/23,3.829
13/10/23,3.887
14/10/23,3.603
15/10/23,3.742
16/10/23,4.313
17/10/23,3.255
18/10/23,3.87
19/10/23,3.162
20/10/23,2.055
21/10/23,2.042
22/10/23,2.297
23/10/23,4.084
24/10/23,3.643
25/10/23,4.308
26/10/23,3.63
27/10/23,3.987
28/10/23,3.774
29/10/23,3.693
30/10/23,4.214
31/10/23,3.967
01/11/23,3.796
02/11/23,3.124
03/11/23,3.768
04/11/23,3.584
05/11/23,3.549
06/11/23,3.714
07/11/23,3.674
08/11/23,3.339
09/11/23,3.811
10/11/23,3.254
11/11/23,3.752
12/11/23,3.605
13/11/23,4.063
14/11/23,3.564
15/11/23,3.532
16/11/23,3.676
17/11/23,4.072
18/11/23,4.375
19/11/23,3.928
20/11/23,4.131
21/11/23,4.282
22/11/23,3.821
23/11/23,3.868
24/11/23,3.836
25/11/23,3.792
26/11/23,3.815
27/11/23,4.079
28/11/23,4.406
29/11/23,3.876
30/11/23,3.506
01/12/23,3.675
02/12/23,3.677
03/12/23,3.348
04/12/23,3.832
05/12/23,3.799
06/12/23,4.309
07/12/23,3.527
08/12/23,4.161
09/12/23,3.592
10/12/23,3.903
11/12/23,4.678
12/12/23,3.596
13/12/23,3.578
14/12/23,3.523
15/12/23,3.972
16/12/23,3.852
17/12/23,4.157
18/12/23,3.847
19/12/23,3.839
20/12/23,3.625
21/12/23,5.052
22/12/23,3.772
23/12/23,3.675
24/12/23,4.267
25/12/23,4.218
26/12/23,4.359
27/12/23,4.506
28/12/23,4.145
29/12/23,3.656
30/12/23,4.462
31/12/23,4.706
01/01/24,4.106
02/01/24,4.756
03/01/24,4.486
04/01/24,3.66
05/01/24,4.047
06/01/24,3.903
07/01/24,3.616
08/01/24,3.567
09/01/24,3.955
10/01/24,3.662
11/01/24,3.723
12/01/24,3.627
13/01/24,3.493
14/01/24,3.819
15/01/24,3.649
16/01/24,3.932
17/01/24,3.716
18/01/24,3.907
19/01/24,3.543
20/01/24,4.222
21/01/24,3.525
22/01/24,3.642
23/01/24,3.633
24/01/24,4.016
25/01/24,3.475
26/01/24,4.208
27/01/24,4.522
28/01/24,4.306
29/01/24,3.477
30/01/24,3.531
31/01/24,3.796
01/02/24,3.502
02/02/24,3.924
03/02/24,4.057
04/02/24,3.385
05/02/24,3.912
06/02/24,3.156
07/02/24,3.927
08/02/24,3.864
09/02/24,3.752
10/02/24,3.832
11/02/24,4.052
12/02/24,4.113
13/02/24,4.186
14/02/24,3.839
15/02/24,3.585
16/02/24,3.755
17/02/24,3.644
18/02/24,3.784
19/02/24,3.645
20/02/24,3.511
21/02/24,3.384
22/02/24,4.424
23/02/24,3.978
24/02/24,3.525
25/02/24,3.457
26/02/24,3.678
27/02/24,3.669
28/02/24,3.679
29/02/24,3.52
01/03/24,3.092
02/03/24,4.587
03/03/24,4.016
04/03/24,4.297
05/03/24,4.063
06/03/24,3.507
07/03/24,3.984
08/03/24,3.427
09/03/24,3.77
10/03/24,3.088
11/03/24,3.543
12/03/24,4.485
13/03/24,3.607
14/03/24,3.56
15/03/24,3.623
16/03/24,3.585
17/03/24,3.348
18/03/24,3.361
19/03/24,4.403
20/03/24,3.503
21/03/24,3.398
22/03/24,3.587
23/03/24,3.753
24/03/24,3.527
25/03/24,3.348
26/03/24,3.881
27/03/24,3.415
28/03/24,3.469
29/03/24,3.638
30/03/24,3.778
31/03/24,3.644
01/04/24,3.798
02/04/24,3.872
03/04/24,3.806
04/04/24,3.425
05/04/24,3.468
06/04/24,4.419
07/04/24,3.414
08/04/24,4.067
09/04/24,3.791
10/04/24,4.058
11/04/24,3.425
12/04/24,3.58
13/04/24,3.434
14/04/24,4.137
15/04/24,3.255
16/04/24,3.34
17/04/24,3.692
18/04/24,3.687
19/04/24,4.229
20/04/24,3.269
21/04/24,3.392
22/04/24,3.765
23/04/24,4.072
24/04/24,3.52
25/04/24,3.295
26/04/24,3.279
27/04/24,3.083
28/04/24,3.741
29/04/24,3.812
30/04/24,3.79
01/05/24,3.409
02/05/24,3.45
03/05/24,3.517
04/05/24,3.256
05/05/24,3.611
06/05/24,3.426
07/05/24,3.337
08/05/24,3.529
09/05/24,3.666
10/05/24,3.178
11/05/24,3.1
12/05/24,3.411
13/05/24,3.578
14/05/24,4.034
15/05/24,3.535
16/05/24,3.308
17/05/24,3.353
18/05/24,4.102
19/05/24,3.765
20/05/24,4.335
21/05/24,4.277
