Fichier,Chanteur,Chanson
Tony Massarelli - Le bonheur.mp4,Tony Massarelli,Le bonheur
Neil Sedaka - Next door to an angel.mp4,Neil Sedaka,Next door to an angel
Irish - Danny boy - Irish Jazz wvocal.mp4,Danny boy,Irish Jazz wvocal
Andy Williams - It's The Most Wonderful Time Of The Year.mp4,Andy Williams,It's The Most Wonderful Time Of The Year
Michel Sardou - Les deux écoles.mp4,Michel Sardou,Les deux écoles
Fiddler On The Roof - If I were a rich man.mp4,Fiddler On The Roof,If I were a rich man
Pauline Ester - Il fait chaud.mp4,Pauline Ester,Il fait chaud
Céline Dion - Ziggy.mp4,Céline Dion,Ziggy
OFKCAR002-10 - Carpenters - Please Mr Postman w~mpex.mkv,Carpenters,Please Mr Postman w~mpex
Herbert Léonard - Tu ne pourras plus jamais m'oublier.mp4,Herbert Léonard,Tu ne pourras plus jamais m'oublier
Showtunes - (Phantom of the Opera) Music of the night (wvocals).mp4,Showtunes,(Phantom of the Opera) Music of the night (wvocals)
Shake - Tu sais je t'aime (You know i love you).mp4,Shake,Tu sais je t'aime (You know i love you)
Renaud - Dans mon HLM.mp4,Renaud,Dans mon HLM
Al Martino - (Theme from The Godfather movie) Speak softly love wvocals.mp4,Al Martino,(Theme from The Godfather movie) Speak softly love wvocals
The Isley Brothers - Twist And Shout.mp4,The Isley Brothers,Twist And Shout
Bill Baxter - Embrasse- moi idiot.mp4,Bill Baxter,Embrasse- moi idiot
Jean-Pierre François - Il a neigé sur les lacs.mp4,Jean-Pierre François,Il a neigé sur les lacs
Madonna - La isla bonita.mp4,Madonna,La isla bonita
Richard Gotainer - Le sampa.mp4,Richard Gotainer,Le sampa
Tom Jones - Till.mp4,Tom Jones,Till
Alain Chamfort - Manuréva.mp4,Alain Chamfort,Manuréva
Jacques Dutronc - Le plus difficile.mp4,Jacques Dutronc,Le plus difficile
Charles Aznavour (also Roy Clark)- Yesterday When I Was Young.mp4,Charles Aznavour (also Roy Clark)- Yesterday When I Was Young.mp4,
Showtunes - Give my regards to Broadway wvocals.mp4,Showtunes,Give my regards to Broadway wvocals
Jean Sablon - Vous qui passez sans me voir.mp4,Jean Sablon,Vous qui passez sans me voir
Andrews Sisters - Don't sit under the apple tree wvocals.mp4,Andrews Sisters,Don't sit under the apple tree wvocals
"Hervé Vilard - La vie est belle, le monde est beau.mp4",Hervé Vilard,"La vie est belle, le monde est beau"
Fiddler On The Roof - Do You Love Me.mp4,Fiddler On The Roof,Do You Love Me
Barbara Mandrell - Woman to woman.mp4,Barbara Mandrell,Woman to woman
Céline Dion - D'amour ou d'amitié.mp4,Céline Dion,D'amour ou d'amitié
Robbie Dupree - Steal away.mp4,Robbie Dupree,Steal away
Philippe Lavil - Elle préfère l'amour en mer.mp4,Philippe Lavil,Elle préfère l'amour en mer
Karol - Le bateau blanc.mp4,Karol,Le bateau blanc
Showtunes - (Annie get your gun) There's no business like show business.mp4,Showtunes,(Annie get your gun) There's no business like show business
Yves Duteil - Mélancolie (avec Véronique Sanson).mp4,Yves Duteil,Mélancolie (avec Véronique Sanson)
Hélène Rolles - Ce train qui s'en va.mp4,Hélène Rolles,Ce train qui s'en va
Tony Bennett - Once upon a time.mp4,Tony Bennett,Once upon a time
CCR - Have You Ever Seen The Rain.mp4,CCR,Have You Ever Seen The Rain
Bobby Darin - Splish Splash.mp4,Bobby Darin,Splish Splash
Yannick Noah - Déstination ailleurs.mp4,Yannick Noah,Déstination ailleurs
Frank Sinatra - Strangers in the night.mp4,Frank Sinatra,Strangers in the night
Jewish - (Classic) Hava Nagila.mp4,Jewish,(Classic) Hava Nagila
Showtunes - La cage aux folles wvocal.mp4,Showtunes,La cage aux folles wvocal
The New Vaudeville Band - Winchester Cathedral.mp4,The New Vaudeville Band,Winchester Cathedral
Indila - Tourner dans le vide.mp4,Indila,Tourner dans le vide
Lara Fabian - Je t'aime.mp4,Lara Fabian,Je t'aime
"Sylvie Vartan - Danse la, chante la.mp4",Sylvie Vartan,"Danse la, chante la"
Gospel - It is well with my soul wmale vocals.mp4,Gospel,It is well with my soul wmale vocals
Ricoune - Dans un verre à ballon.mp4,Ricoune,Dans un verre à ballon
Johnny Hallyday - Mon plus beau Noël.mp4,Johnny Hallyday,Mon plus beau Noël
Andrea Bocelli - Caruso.mp4,Andrea Bocelli,Caruso
Billy Joel - Honesty.mp4,Billy Joel,Honesty
Dalida - Paroles paroles (avec Alain Delon).mp4,Dalida,Paroles paroles (avec Alain Delon)
Bananarama - Cruel Summer.mp4,Bananarama,Cruel Summer
Nini Ferrer - Oh hé hein bon.mp4,Nini Ferrer,Oh hé hein bon
Dr. Hook - When you're in love with a beautiful woman.mp4,Dr. Hook,When you're in love with a beautiful woman
Dean Martin - My kind of girl.mp4,Dean Martin,My kind of girl
Bénabar - Maritie et Gilbert Carpentier.mp4,Bénabar,Maritie et Gilbert Carpentier
Ringo - Cinderella.mp4,Ringo,Cinderella
Michel Sardou - La fille aux yeux clairs.mp4,Michel Sardou,La fille aux yeux clairs
Lââm - Petite Soeur.mp4,Lââm,Petite Soeur
Italian - Tarantella.mp4,Italian,Tarantella
Natasha St-Pier - J'avais quelq'un.mp4,Natasha St-Pier,J'avais quelq'un
Luis Mariano - Olé toréro.mp4,Luis Mariano,Olé toréro
Karaoké Je veux - Zaz _.mp4,Karaoké Je veux,Zaz _
Serge Lama - Ballade pour une colombe.mp4,Serge Lama,Ballade pour une colombe
Niagara - L'amour à la plage.mp4,Niagara,L'amour à la plage
Meatloaf -Two outta three aint bad.mp4,Meatloaf -Two outta three aint bad.mp4,
Coeur de Pirate - Mistral gagnant.mp4,Coeur de Pirate,Mistral gagnant
Céline Dion - Parler à mon père.mp4,Céline Dion,Parler à mon père
