POSITION,CLUB,POINTS,JOUÉS,GAGNÉS,NULS,PERDUS,BUTS POUR,BUTS CONTRE,DIFF.,Pts/J,Bp/J,Bc/J
1,PARIS SAINT-GERMAIN,68,27,22,2,3,75,24,51,2.5185185185185186,2.7777777777777777,0.8888888888888888
2,OLYMPIQUE DE MARSEILLE,56,28,16,8,4,41,29,12,2.0,1.4642857142857142,1.0357142857142858
3,STADE RENNAIS FC,50,28,15,5,8,38,24,14,1.7857142857142858,1.3571428571428572,0.8571428571428571
4,LOSC LILLE,49,28,15,4,9,35,27,8,1.75,1.25,0.9642857142857143
5,STADE DE REIMS,41,28,10,11,7,26,21,5,1.4642857142857142,0.9285714285714286,0.75
6,OGC NICE,41,28,11,8,9,41,38,3,1.4642857142857142,1.4642857142857142,1.3571428571428572
7,OLYMPIQUE LYONNAIS,40,28,11,7,10,42,27,15,1.4285714285714286,1.5,0.9642857142857143
8,MONTPELLIER HÉRAULT SC,40,28,11,7,10,35,34,1,1.4285714285714286,1.25,1.2142857142857142
9,AS MONACO,40,28,11,7,10,44,44,0,1.4285714285714286,1.5714285714285714,1.5714285714285714
10,ANGERS SCO,39,28,11,6,11,28,33,-5,1.3928571428571428,1.0,1.1785714285714286
11,RC STRASBOURG ALSACE,38,27,11,5,11,32,32,0,1.4074074074074074,1.1851851851851851,1.1851851851851851
12,FC GIRONDINS DE BORDEAUX,37,28,9,10,9,40,34,6,1.3214285714285714,1.4285714285714286,1.2142857142857142
13,FC NANTES,37,28,11,4,13,28,31,-3,1.3214285714285714,1.0,1.1071428571428572
14,STADE BRESTOIS 29,34,28,8,10,10,34,37,-3,1.2142857142857142,1.2142857142857142,1.3214285714285714
15,FC METZ,34,28,8,10,10,27,35,-8,1.2142857142857142,0.9642857142857143,1.25
16,DIJON FCO,30,28,7,9,12,27,37,-10,1.0714285714285714,0.9642857142857143,1.3214285714285714
17,AS SAINT-ÉTIENNE,30,28,8,6,14,29,45,-16,1.0714285714285714,1.0357142857142858,1.6071428571428572
18,NÎMES OLYMPIQUE,27,28,7,6,15,29,44,-15,0.9642857142857143,1.0357142857142858,1.5714285714285714
19,AMIENS SC,23,28,4,11,13,31,50,-19,0.8214285714285714,1.1071428571428572,1.7857142857142858
20,TOULOUSE FC,13,28,3,4,21,22,58,-36,0.4642857142857143,0.7857142857142857,2.0714285714285716
